course_name,enrrollment_count,course_type,institution,instructors,course_level,course_subject,language,subtitles,avg_course_effort,duration_in_weeks,course_price,verified_certificate_price
Principles of Biochemistry,257600,Self-paced on your time,Harvard University,"['Alain Viel', 'Rachelle Gaudet']",Intermediate,Medicine,English,['English'],5.0,15,Free,199.0
Using Python for Research,262183,Self-paced on your time,Harvard University,"['Jukka', 'Pekka ""JP"" Onnela']",Intermediate,Computer Science,English,['English'],3.0,12,Free,99.0
Hinduism Through Its Scriptures,140782,Self-paced on your time,Harvard University,"['Neelima Shukla', 'Bhatt', 'Jason Smith']",Introductory,Humanities,English,['English'],7.5,4,Free,99.0
Basic Spanish 1: Getting Started,400169,Self-paced on your time,Universitat Politècnica de Valencia,"['Prof. Ana Gimeno', 'Virginia González', 'Cristina Navarro', 'Begoña García Migura']",Introductory,Communication,English,"['English', ' Español']",4.5,7,Free,40.0
The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,"['Aaron Bernstein', 'Ashish Jha']",Introductory,Environmental Studies,English,['English'],4.0,7,Free,99.0
Inglés básico: conversacional y networking,79671,Self-paced on your time,Universidades Anáhuac,"['Judith Margarete Towle Wachenheim', 'Isabel Rosado Richard', 'Jorge Ernesto Peniche Rosales', 'Andrea Josefina Sansores Ruz']",Introductory,Business & Management,Español,"['English', ' Español']",6.5,4,Free,49.0
Statistics and R,314586,Self-paced on your time,Harvard University,"['Rafael Irizarry', 'Michael Love']",Intermediate,Data Analysis & Statistics,English,['English'],3.0,4,Free,249.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Harvard University,"['Michael Brenner', 'David Weitz', 'Pia Sörensen']",Introductory,Chemistry,English,['English'],2.5,16,Free,199.0
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Harvard University,['Peter Der Manuelian'],Introductory,Art & Culture,English,['English'],3.0,8,Free,99.0
"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Harvard University,['Alyssa Goodman'],Introductory,Social Sciences,English,['English'],4.0,1,Free,25.0
Excel: Fundamentos y herramientas,284279,Self-paced on your time,Universitat Politècnica de Valencia,"['Jaime Busquets Mataix', 'Víctor Braquehais Acero']",Introductory,Computer Science,Español,['Español'],3.5,8,Free,50.0
Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,['Ashish Jha'],Introductory,Social Sciences,English,['English'],4.0,4,Free,49.0
Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,['Ashish Jha'],Intermediate,Social Sciences,English,['English'],3.0,10,Free,99.0
CS50 for Lawyers,87336,Self-paced on your time,Harvard University,"['Doug Lloyd', 'David J. Malan']",Introductory,Computer Science,English,['English'],4.5,10,Free,99.0
Data Science: Visualization,171258,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1.5,8,Free,49.0
Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,"['Karen L. King', 'Sarah Griffis']",Introductory,Humanities,English,['English'],7.5,4,Free,99.0
The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley","['Dacher Keltner', 'Emiliana Simon', 'Thomas']",Introductory,Social Sciences,English,['English'],4.5,11,Free,169.0
Leaders of Learning,231131,Self-paced on your time,Harvard University,['Richard Elmore'],Introductory,Communication,English,"['English', ' Español']",3.0,10,Free,99.0
Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,['Ronald Heifetz'],Introductory,Business & Management,English,['English'],2.5,4,Free,99.0
Data Science: Probability,135859,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1.5,8,Free,49.0
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Harvard University,['Kathryn Parker Boudett'],Intermediate,Education & Teacher Training,English,"['English', ' Español']",1.5,10,Free,70.0
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Harvard University,"['Aaron Kesselheim', 'Jonathan Darrow', 'Ameet Sarpatwari', 'Jerry Avorn']",Introductory,Medicine,English,['English'],3.5,8,Free,99.0
Introduction to Family Engagement in Education,105146,Self-paced on your time,Harvard University,['Karen L. Mapp'],Introductory,Education & Teacher Training,English,['English'],3.0,6,Free,70.0
Italian Language and Culture: Beginner (2019-2020),182462,Self-paced on your time,Wellesley College,"['Daniela Bartalesi', 'Graf']",Introductory,Language,Italiano,['Italiano'],3.5,12,Free,49.0
Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Waseda University,['Naoko Kinoshita'],Introductory,Language,English,"['English', ' 日本語']",4.0,5,Free,49.0
How to Write an Essay,306787,Self-paced on your time,"University of California, Berkeley",['Maggie Sokolik'],Introductory,Humanities,English,['English'],5.5,5,Free,49.0
Energy Within Environmental Constraints,95324,Self-paced on your time,Harvard University,"['David Keith', 'Daniel Thorpe']",Introductory,Environmental Studies,English,['English'],4.0,10,Free,99.0
Introduction to Probability,97291,Self-paced on your time,Harvard University,['Joseph Blitzstein'],Intermediate,Data Analysis & Statistics,English,['English'],7.5,10,Free,99.0
AnatomyX: Musculoskeletal Cases,102075,Self-paced on your time,Harvard University,"['Trudy Van Houten', 'Michael Parker', 'Alexander Bick, M.D., Ph.D.']",Intermediate,Medicine,English,['English'],4.5,7,Free,99.0
Data Science: Inference and Modeling,88256,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1.5,8,Free,49.0
Strengthening Community Health Worker Programs,58626,Self-paced on your time,Harvard University,['Rajesh Ramesh Panjabi'],Introductory,Health & Safety,English,['English'],3.0,6,Free,79.0
Buddhism Through Its Scriptures,182295,Self-paced on your time,Harvard University,"['Charles Hallisey', 'Alexis Bader']",Introductory,Humanities,English,['English'],7.5,4,Free,99.0
Introduction to Linux,642088,Self-paced on your time,The Linux Foundation,['Jerry Cooperstein'],Introductory,Computer Science,English,['English'],6.0,14,Free,199.0
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Self-paced on your time,Harvard University,['I. Glenn Cohen'],Introductory,Medicine,English,['English'],1.5,10,Free,99.0
Shakespeare's Life and Work,48938,Self-paced on your time,Harvard University,['Stephen Greenblatt'],Introductory,Humanities,English,['English'],6.0,4,Free,49.0
Marketing Digital: Content & Community Manager,112623,Self-paced on your time,Universidad Galileo,"['Jojo Giuffra', 'Miguel Morales', 'Rocael Hernández']",Introductory,Communication,Español,['Español'],3.5,5,Free,49.0
Accounting and Finance,88243,Self-paced on your time,Indian Institute of Management Bangalore,['MS Narasimhan'],Intermediate,Business & Management,English,"['English', ' हिन्दी']",3.0,11,Free,150.0
Computing in Python I: Fundamentals and Procedural Programming,141966,Self-paced on your time,The Georgia Institute of Technology,['David Joyner'],Introductory,Computer Science,English,['English'],9.5,5,Free,99.0
"Nutrition, Exercise and Sports",51679,Self-paced on your time,Wageningen University & Research,"['Dr. Marco Mensink', 'Rieneke Terink MSc', 'Pol Grootswagers MSc']",Intermediate,Food & Nutrition,English,['English'],6.0,6,Free,49.0
Becoming an Entrepreneur,104760,Self-paced on your time,Massachusetts Institute of Technology,"['Martin Culpepper', 'Laurie Stach']",Introductory,Business & Management,English,['English'],2.0,6,Free,69.0
"Religion, Conflict and Peace",74060,Self-paced on your time,Harvard University,['Diane L. Moore'],Introductory,Humanities,English,['English'],6.0,8,Free,49.0
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Self-paced on your time,Harvard University,"['Sarah Carter', 'Ivan Gaskell', 'Sara Schechner', 'Laurel Thatcher Ulrich']",Introductory,Humanities,English,['English'],2.0,10,Free,49.0
Academic and Business Writing,322701,Self-paced on your time,"University of California, Berkeley",['Maggie Sokolik'],Introductory,Communication,English,['English'],4.0,6,Free,49.0
Data Science: Capstone,62803,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],17.5,2,Free,99.0
Basics of Computing and Programming,37045,Self-paced on your time,New York University,"['Itay Tal', 'Aspen Olmsted']",Introductory,Computer Science,English,['English'],7.0,9,Free,200.0
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Self-paced on your time,Harvard University,['David Cox'],Introductory,Biology & Life Sciences,English,['English'],4.0,6,Free,99.0
